x,y,species median
886.0,886.0,0.18706825
887.0,887.0,0.37584993
888.0,888.0,0.49414796
889.0,889.0,0.7111753
890.0,890.0,0.06471095
891.0,891.0,0.1501803
892.0,892.0,0.5362435
893.0,893.0,0.004921788
894.0,894.0,0.17776704
895.0,895.0,0.4834696
896.0,896.0,0.57321215
897.0,897.0,0.07366146
898.0,898.0,0.02533813
899.0,899.0,0.13914543
900.0,900.0,0.518629
901.0,901.0,0.0080096815
902.0,902.0,0.19654742
903.0,903.0,0.36600825
904.0,904.0,0.008103153
905.0,905.0,0.55006045
906.0,906.0,0.021461666
907.0,907.0,0.42355993
908.0,908.0,0.04183298
909.0,909.0,0.015370022
910.0,910.0,0.5608855
911.0,911.0,0.3205678
912.0,912.0,0.6625691
913.0,913.0,0.44949228
914.0,914.0,0.024851903
915.0,915.0,0.44452125
916.0,916.0,0.62151253
917.0,917.0,0.013004596
918.0,918.0,0.57460827
919.0,919.0,0.012155676
920.0,920.0,0.5183384
921.0,921.0,0.10612466
922.0,922.0,0.046052754
923.0,923.0,0.4363911
924.0,924.0,0.22585876
925.0,925.0,0.11041412
926.0,926.0,0.59218174
927.0,927.0,0.2167534
928.0,928.0,0.094718866
929.0,929.0,0.010948092
930.0,930.0,0.462897
931.0,931.0,0.23280206
932.0,932.0,0.059287053
933.0,933.0,0.41696805
934.0,934.0,0.53233576
935.0,935.0,0.0025213065
936.0,936.0,0.48381916
937.0,937.0,0.48114234
938.0,938.0,0.04058635
939.0,939.0,0.46303675
940.0,940.0,0.115944535
941.0,941.0,0.3076733
942.0,942.0,0.010573259
943.0,943.0,0.50189644
944.0,944.0,0.39522386
945.0,945.0,0.08216277
946.0,946.0,0.5042376
947.0,947.0,0.05729335
948.0,948.0,0.59468174
949.0,949.0,0.5208292
950.0,950.0,0.2858601
951.0,951.0,0.45249677
952.0,952.0,0.3891788
953.0,953.0,0.079744354
954.0,954.0,0.11664296
955.0,955.0,0.027518101
956.0,956.0,0.42052284
957.0,957.0,0.03377759
958.0,958.0,0.061340053
959.0,959.0,0.3494895
960.0,960.0,0.13804811
961.0,961.0,0.014531046
962.0,962.0,0.18406808
963.0,963.0,0.045112997
964.0,964.0,0.38035902
965.0,965.0,0.37119547
966.0,966.0,0.24205367
967.0,967.0,0.26994514
968.0,968.0,0.15454932
969.0,969.0,0.48754922
970.0,970.0,0.5658684
971.0,971.0,0.51380885
972.0,972.0,0.12583059
973.0,973.0,0.5610052
974.0,974.0,0.2951731
975.0,975.0,0.25677818
976.0,976.0,0.42444348
977.0,977.0,0.1889321
978.0,978.0,0.5621582
979.0,979.0,0.14038295
980.0,980.0,0.40335557
981.0,981.0,0.045516547
982.0,982.0,0.37607837
983.0,983.0,0.14180686
984.0,984.0,0.4508445
985.0,985.0,0.0097566
986.0,986.0,0.5023904
987.0,987.0,0.5983168
988.0,988.0,0.4699608
989.0,989.0,0.11838773
990.0,990.0,0.101825155
991.0,991.0,0.08010128
992.0,992.0,0.5573828
993.0,993.0,0.08440729
994.0,994.0,0.47503763
995.0,995.0,0.060303777
996.0,996.0,0.5567319
