x,y,raw,cumulative,logistic
2693.0,2693.0,1.1682E-4,33.639826182,0.458486573
2694.0,2694.0,1.51168E-4,50.63789414,0.522813308
2695.0,2695.0,1.86701E-5,1.776119019,0.119187407
2696.0,2696.0,2.49918E-4,82.783705696,0.644296516
2697.0,2697.0,1.10384E-4,30.187872317,0.444453057
2698.0,2698.0,1.73745E-6,0.069847362,0.012435893
2699.0,2699.0,7.68704E-5,15.503795876,0.357793847
2700.0,2700.0,1.26166E-5,0.862895046,0.083780468
2701.0,2701.0,1.20869E-4,35.552048048,0.466957247
2702.0,2702.0,8.78125E-5,19.558957105,0.388916424
2703.0,2703.0,3.78914E-6,0.18056804,0.026728483
2704.0,2704.0,3.29585E-5,4.856362817,0.192814883
2705.0,2705.0,5.83586E-5,10.046226841,0.297242027
2706.0,2706.0,1.37807E-4,44.201866434,0.499694606
2707.0,2707.0,2.58221E-4,84.586563281,0.651750885
2708.0,2708.0,7.63722E-7,0.011152843,0.005504747
2709.0,2709.0,1.70922E-5,1.513801801,0.110224301
2710.0,2710.0,3.5471E-5,5.307978464,0.204507436
2711.0,2711.0,1.72003E-5,1.537832738,0.110844335
2712.0,2712.0,1.21069E-5,0.811985608,0.080668612
2713.0,2713.0,1.28522E-4,39.594166961,0.482264384
2714.0,2714.0,1.28267E-4,39.46575527,0.481768718
2715.0,2715.0,6.3185E-5,11.41164071,0.314103229
2716.0,2716.0,5.75539E-5,9.854759763,0.29434992
2717.0,2717.0,1.26272E-4,38.331985053,0.477856058
2718.0,2718.0,2.42988E-5,3.001467408,0.149739631
2719.0,2719.0,9.39611E-7,0.020678607,0.006763942
2720.0,2720.0,1.15845E-5,0.747964286,0.077457163
2721.0,2721.0,1.25307E-4,37.853562097,0.475942307
2722.0,2722.0,1.04657E-4,27.318270163,0.431341293
2723.0,2723.0,6.99393E-5,13.312770918,0.33638502
2724.0,2724.0,6.37335E-6,0.346942849,0.044152522
2725.0,2725.0,2.39643E-4,80.654927818,0.634617894
2726.0,2726.0,9.40576E-5,22.404372967,0.40536368
2727.0,2727.0,1.8347E-4,64.930165009,0.570765795
2728.0,2728.0,2.02414E-5,2.11523866,0.127934835
2729.0,2729.0,1.14167E-4,32.28982362,0.452789107
2730.0,2730.0,1.17495E-4,34.014757532,0.459916912
2731.0,2731.0,1.78731E-4,62.991898003,0.564343741
2732.0,2732.0,6.84989E-6,0.376736085,0.047297705
2733.0,2733.0,1.33625E-4,42.043611827,0.49199135
2734.0,2734.0,2.80842E-6,0.123895966,0.019948533
2735.0,2735.0,5.70914E-5,9.71710802,0.292676674
2736.0,2736.0,9.76639E-5,23.947978131,0.414464182
2737.0,2737.0,5.66376E-5,9.591971225,0.291027498
2738.0,2738.0,6.52638E-5,11.887705629,0.321118782
2739.0,2739.0,1.6056E-6,0.061190229,0.011503059
2740.0,2740.0,2.57116E-4,84.303059163,0.650776786
2741.0,2741.0,8.99954E-5,20.572527258,0.394767723
2742.0,2742.0,1.21807E-4,36.013223357,0.468881075
2743.0,2743.0,1.3098E-4,40.814074621,0.486996169
2744.0,2744.0,8.15845E-5,17.028750384,0.371582624
2745.0,2745.0,7.64973E-7,0.011305825,0.005513717
2746.0,2746.0,2.03739E-6,0.086530219,0.014551507
2747.0,2747.0,9.40185E-5,22.385561936,0.405263484
2748.0,2748.0,1.02448E-4,26.209974188,0.426114746
2749.0,2749.0,1.36881E-4,43.74869787,0.49801028
2750.0,2750.0,8.66841E-5,19.053097562,0.385847118
2751.0,2751.0,1.26688E-4,38.509088661,0.478676828
2752.0,2752.0,1.26037E-4,38.167943262,0.477391968
2753.0,2753.0,1.74256E-4,60.805533145,0.558100205
2754.0,2754.0,1.4265E-4,46.722837588,0.508329331
2755.0,2755.0,1.16587E-4,33.593112097,0.457990326
2756.0,2756.0,1.17577E-4,34.061774209,0.460089309
2757.0,2757.0,5.51902E-5,9.346126649,0.285714993
2758.0,2758.0,3.93623E-5,6.120423182,0.221962998
2759.0,2759.0,4.4337E-5,7.075113431,0.243192832
2760.0,2760.0,1.0771E-5,0.664456216,0.072411736
2761.0,2761.0,9.00073E-7,0.018556127,0.006481167
2762.0,2762.0,5.0263E-5,8.324722636,0.267018259
2763.0,2763.0,1.54908E-5,1.263275698,0.100939483
2764.0,2764.0,7.69691E-6,0.427671478,0.052837277
